qb_label,qb_leaf,usage_count,entities,machine_rec_code
Cost of Overhead Related to Service:Operating Expenses,Operating Expenses,1343,"au,sg_",2200
Fleet Account,Fleet Account,649,sg_,5060
Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,Salary Expense Ops - Customer Service,324,sg_,5063
"AI, Internet & Website Maintenance fees","AI, Internet & Website Maintenance fees",128,sg_,6104
Operating Expenses,Operating Expenses,96,au,2200
Other Operating Expenses:Corporate - General Expenses,Corporate - General Expenses,85,sg_,5062
Operating Expenses:Technology System Costs,Technology System Costs,49,au,6700
Cost of Overhead Related to Service:Operating Expenses:Excess mileage,Excess mileage,33,sg_,5024
Cost of Overhead Related to Service:Operating Expenses:Towing,Towing,27,"au,sg_",5033
Cost of Overhead Related to Service:Operating Expenses:Downtime,Downtime,22,sg_,5043
Cost of Overhead Related to Service:In-car Running Costs,In-car Running Costs,14,au,7301
Cost of Overhead Related to Service:Salary Expense - Local Ops Salary,Salary Expense - Local Ops Salary,12,au,6003
Other Operating Expenses:Human Resource - Employee Benefits,Human Resource - Employee Benefits,10,sg_,6014
Director's Remuneration Payable,Director's Remuneration Payable,6,sg_,2010
Other Operating Expenses:Admin Expense,Admin Expense,5,sg_,2200
Uncategorised Asset,Uncategorised Asset,4,"au,sg_",6103
PAYG Liability,PAYG Liability,4,au,2301
Other Operating Expenses:Travel- Allowance,Travel- Allowance,3,sg_,6401
Due to Singapore,Due to Singapore,3,ven,8110
Other Operating Expenses:Corporate - Office Repair and Maintenance,Corporate - Office Repair and Maintenance,2,sg_,6300
Meals and entertainment (deleted),Meals and entertainment (deleted),2,au,6402
Other Operating Expenses:Depreciation Expense,Depreciation Expense,1,sg_,7301
Suspense (deleted),Suspense (deleted),1,sg_,3300
Computer & Software:Accumulated Depreciation-Computer & Software,Accumulated Depreciation-Computer & Software,1,sg_,7300
Gross Revenue-Car Rental Usage:Customer Refunds (deleted),Customer Refunds (deleted),1,sg_,1310
Cost of Overhead Related to Service:Salary Expense - Ops Contractor (Bonus),Salary Expense - Ops Contractor (Bonus),1,sg_,6003
Cost of Service:Payment Gateway:Stripe fees,Stripe fees,1,au,6501
Intangible Assets:Brand:Brand - Amortization,Brand - Amortization,1,ven,1700
Deposit,Deposit,1,ven,1310
Operating Expenses:Corporate-Prof. Fees (Others),Corporate-Prof. Fees (Others),1,ven,2400
Operating Expenses:Travel Expense,Travel Expense,380,au,6401
Cost of Overhead Related to Service:Market -Asset Creation,Market -Asset Creation,88,sg_,6103
Share Capital - Ordinary,Share Capital - Ordinary,44,ven,3000
Technology Development,Technology Development,33,sg_,1710
Other Operating Expenses:Corporate - Bookkeeping Fees,Corporate - Bookkeeping Fees,18,sg_,6500
Bank charges and fees,Bank charges and fees,14,au,6600
Superannuation payable,Superannuation payable,8,au,2302
Accounting and bookkeeping,Accounting and bookkeeping,6,au,6500
Deferred Income,Deferred Income,3,ven,2210
Loan Payable,Loan Payable,2,ven,2010
Brand,Brand,1,sg_,1700
Other Deposit,Other Deposit,1,sg_,1310
In-car devices...:Accumulated Depreciation-In-car Devices,Accumulated Depreciation-In-car Devices,1,ven,7301
Account Payables,Account Payables,1,ven,2010
