qb_label,qb_leaf,usage_count,entities,machine_rec_code
Due from Fleet,Due from Fleet,776,sg_,8000
Other Operating Expenses:Human Resource - Salary Expense,Human Resource - Salary Expense,630,sg_,5061
Due From Australian Account,Due From Australian Account,317,"sg_,ven",8000
Other Operating Expenses:Marketing - Advertising (new customers),Marketing - Advertising (new customers),126,sg_,6100
Cost of Service:Insurance,Insurance,94,"au,sg_",4030
Cost of Overhead Related to Service:Operating Expenses:Parking,Parking,78,"au,sg_",5060
Cost of Overhead Related to Service:Operating Expenses:Damage,Damage,45,sg_,4021
Cost of Overhead Related to Service:Operating Expenses:Extensions,Extensions,33,sg_,2200
Other Operating Expenses:Travel - Accommodation,Travel - Accommodation,25,sg_,6400
Operating Expenses:Corporate - Legal and professional fees,Corporate - Legal and professional fees,21,au,6501
Employee Expense,Employee Expense,14,au,6014
Other Operating Expenses:Human Resource - Recruitment Advertising Fees,Human Resource - Recruitment Advertising Fees,11,sg_,6200
Operating Expenses:Marketing Acquisition-New Customer,Marketing Acquisition-New Customer,10,au,6102
Other Operating Expenses:Corporate-Other Corporate,Corporate-Other Corporate,6,sg_,2000
Other Operating Expenses:Corporate - Office Supplies,Corporate - Office Supplies,5,sg_,6013
Other Operating Expenses:Corporate - Audit and Tax Fees,Corporate - Audit and Tax Fees,4,sg_,9000
Gross Revenue-Car Rental Usage,Gross Revenue-Car Rental Usage,3,"au,sg_",4020
Other Operating Expenses:Research and Development - Software,Research and Development - Software,3,sg_,1710
Depreciation - Branding,Depreciation - Branding,2,"sg_,ven",6101
Computer at Cost,Computer at Cost,2,au,1500
Insurance Payable,Insurance Payable,2,au,2010
Gross Revenue,Gross Revenue,1,sg_,4025
Security Deposit Refundable,Security Deposit Refundable,1,sg_,1310
FL A/c (deleted),FL A/c (deleted),1,sg_,1710
Other Operating Expenses:Legal Settlement Expense,Legal Settlement Expense,1,sg_,6501
11111 Receivable from Guests,11111 Receivable from Guests,1,au,1220
Cost of Service:Payment Gateway:Stripe Fees (deleted),Stripe Fees (deleted),1,au,6501
"Operating Expenses:Corporate-COSEC, FS & Tax","Corporate-COSEC, FS & Tax",1,ven,9000
Investment in Subsidiaries:Investment in Subsidiary - Drive Lah Pte Ltd (SG),Investment in Subsidiary - Drive Lah Pte Ltd (SG),1,ven,5035
Operating Expenses:Corporate - Company Secretary Fees,Corporate - Company Secretary Fees,1,ven,6104
Due to Ventures,Due to Ventures,220,"au,sg_",8101
Other Operating Expenses:Marketing Asset Creation,Marketing Asset Creation,87,sg_,6103
Cost of Overhead Related to Service:Marketing - Discount & Promotions:Discounts,Discounts,42,sg_,5050
Due From Ventures,Due From Ventures,22,sg_,8001
Trade and other payables - INR,Trade and other payables - INR,17,sg_,2000
Cost of Overhead Related to Service:Marketing - Advertising (retargeting),Marketing - Advertising (retargeting),11,sg_,6100
In-car Devices,In-car Devices,7,sg_,7301
Accounts Payable,Accounts Payable,4,sg_,2010
Cost of Service:Host Earnings:Flex+ payouts,Flex+ payouts,2,sg_,5002
Technology Development:Accumulated amortisation - Technology Development,Accumulated amortisation - Technology Development,1,sg_,7400
Allowance for doubtful accounts,Allowance for doubtful accounts,1,sg_,1900
4301 CMB - Incidental Revenue,4301 CMB - Incidental Revenue,1,au,4025
Suspense,Suspense,1,ven,3300
In-car devices...,In-car devices...,1,ven,7301
