qb_label,code,confidence,reason
Cost of Overhead Related to Service:Operating Expenses,,low,"generic COS overhead bucket with no leaf detail — could split across many 50xx; needs decision"
Fleet Account,,low,"intra-entity RMS Fleet clearing — needs a decision"
Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,5063,high,"customer support salary = Customer Support - Salary (COS)"
"AI, Internet & Website Maintenance fees",6700,med,"AI/internet/website infra maintenance = Technology - Infrastructure; anchor maps AI,Internet & Website to 6700"
Operating Expenses,,low,"top-level generic expense bucket, no leaf — needs decision"
Other Operating Expenses:Corporate - General Expenses,6014,med,"corporate general/misc expense maps best to Employee Claims - Other / misc opex; ambiguous"
Operating Expenses:Technology System Costs,6700,high,"technology system/infra costs = Technology - Infrastructure"
Cost of Overhead Related to Service:Operating Expenses:Excess mileage,5024,high,"excess mileage payout to host (COS) = Incidentals Payout - Excess Mileage"
Cost of Overhead Related to Service:Operating Expenses:Towing,5033,high,"towing payout (COS) = Incidentals Payout - Towing"
Cost of Overhead Related to Service:Operating Expenses:Downtime,5043,high,"host downtime compensation (COS) = Host Payouts - Downtime"
Cost of Overhead Related to Service:In-car Running Costs,5030,med,"in-car device running/connectivity costs (COS) = Cost of Device Subscriptions"
Cost of Overhead Related to Service:Salary Expense - Local Ops Salary,5061,high,"local on-ground ops salary (COS) = On-Ground Team - Salary"
Other Operating Expenses:Human Resource - Employee Benefits,6014,med,"HR employee benefits = Employee Claims - Other / misc HR opex; no dedicated benefits code"
Director's Remuneration Payable,2304,med,"directors remuneration owed but not paid = Salaries Payable (liability); not the expense 6003"
Other Operating Expenses:Admin Expense,6014,low,"generic admin expense, no specific category — best-fit misc opex"
Uncategorised Asset,3300,low,"uncategorised holding item routed to Suspense Account pending reclassification"
PAYG Liability,2301,high,"AU PAYG withholding owed to ATO = PAYG Withholding Payable (AU)"
Other Operating Expenses:Travel- Allowance,6401,med,"travel meal/allowance expense = Travel - Meals; could be 6400 if tickets"
Due to Singapore,8120,high,"Ventures books, amount owed to SG = IC - Due to SG (Ventures books)"
Other Operating Expenses:Corporate - Office Repair and Maintenance,6300,med,"office repair & maintenance maps to Office Rent/facilities bucket; no dedicated R&M code"
Meals and entertainment (deleted),6402,high,"meals and entertainment = Entertainment"
Other Operating Expenses:Depreciation Expense,7300,med,"depreciation expense to P&L; default Computer & Equipment depreciation absent asset detail"
Suspense (deleted),3300,high,"suspense holding account = Suspense Account"
Computer & Software:Accumulated Depreciation-Computer & Software,1600,high,"accumulated depreciation contra-asset for computer = Accum Depr - Computer & Peripherals, not P&L expense"
Gross Revenue-Car Rental Usage:Customer Refunds (deleted),5052,high,"customer trip refunds = Refunds - Trip; not customer deposits"
Cost of Overhead Related to Service:Salary Expense - Ops Contractor (Bonus),5061,med,"ops contractor bonus is on-ground ops labour (COS) = On-Ground Team - Salary"
Cost of Service:Payment Gateway:Stripe fees,5010,high,"Stripe processing fees = Payment Processing Fees"
Intangible Assets:Brand:Brand - Amortization,7401,high,"amortisation expense on Brand = Amortisation - Brand (P&L), not the asset 1700"
Deposit,1310,med,"deposit paid out = Customer Deposits (asset); could be deposit held if received"
Operating Expenses:Corporate-Prof. Fees (Others),6500,med,"other professional fees = Accounting & Bookkeeping Fees / professional fees bucket"
Operating Expenses:Travel Expense,6400,high,"travel expense (tickets) = Travel - Tickets"
Cost of Overhead Related to Service:Market -Asset Creation,6103,high,"marketing asset/creative production = Marketing - Asset Creation"
Share Capital - Ordinary,3000,high,"ordinary share capital = Share Capital (equity)"
Technology Development,1710,high,"capitalised technology development = Technology Development (intangible asset)"
Other Operating Expenses:Corporate - Bookkeeping Fees,6500,high,"bookkeeping fees = Accounting & Bookkeeping Fees"
Bank charges and fees,6600,high,"bank charges and fees = Bank Fees"
Superannuation payable,2302,high,"AU super owed to funds = Superannuation Payable (AU)"
Accounting and bookkeeping,6500,high,"accounting and bookkeeping = Accounting & Bookkeeping Fees"
Deferred Income,2210,high,"cash received for undelivered service = Deferred Income (liability)"
Loan Payable,2400,high,"loan owed = Loans from Others (liability); money received"
Brand,1700,high,"capitalised brand asset = Brand (intangible asset)"
Other Deposit,1310,med,"other deposit paid out = Customer Deposits (asset); direction assumed outbound"
In-car devices...:Accumulated Depreciation-In-car Devices,1610,high,"accumulated depreciation contra-asset for in-car devices = Accum Depr - Hardware Devices, not P&L expense"
Account Payables,2000,high,"accounts payable = Trade & Other Payables"
