"id","realm_id","rule_name","description","priority","is_active","is_and_rule","created_at","updated_at","created_by","bank_accounts"
511,"9130354593661056",Quickbooks,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
296,"9130348479446096",Contractor Salary 10,,119,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
274,"9130348479446096",Contractor Salary 2,,97,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
275,"9130348479446096",Contractor Salary 3,,98,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
276,"9130348479446096",Contractor Salary 4,,99,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
277,"9130348479446096",Contractor Salary 5,,100,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
278,"9130348479446096",Contractor Salary Aus,,101,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
281,"9130348479446096",Wise Corporate Salary 2,,104,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
282,"9130348479446096",Wise Corporate Salary 3,,105,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
283,"9130348479446096",Wise Corporate Salary 4,,106,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
284,"9130348479446096",Wise Corporate Salary 5,,107,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
292,"9130348479446096",Wise Corporate Salary 7,,115,true,true,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
293,"9130348479446096",Wise Corporate Salary 8,,116,true,true,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
294,"9130348479446096",Wise Corporate Salary 9,,117,true,true,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
279,"9130348479446096",Wise Transfer fee,,102,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,Wise
512,"9130354593661056",Chatgpt,Migrated from Australia CSV on 2025-06-30,75,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
370,"9130348479446096",Wise HR Salary Payments - Paramjeet,Wise payment to HR employee Paramjeet (account 54),10,true,false,2025-06-25 01:51:37.061,2025-06-25 01:51:37.061,,
513,"9130354593661056",(Suggested) Tax Payments Netbank Bpay as Tax Paid,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
514,"9130354593661056",(Suggested) Drive Lah Ventures Holding Pte as Due to Ventures,Migrated from Australia CSV on 2025-06-30,70,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
396,"9130348479446096",Vendor - OpenAI,,85,true,true,2025-06-25 02:36:39.447,2025-06-25 02:36:39.447,rule_manager,
515,"9130354593661056",VSR,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
516,"9130354593661056",(Suggested) Mazda as Corporate-Other Corporate Expense,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
518,"9130354593661056",(Suggested) Pin Chargefox Pty Ltd as Operating Expenses-Corporate-Other Corporate Expense,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
519,"9130354593661056",(Suggested) Transfer from CommBank app VSR as Other Income,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
520,"9130354593661056",(Suggested) Rfnd OSeas Transaction Value Date- 15-09-2023 as Other Income,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
522,"9130354593661056",(Suggested) Transfer Benjamin Gotto Smith Commbank as Corporate - Legal and professional fees,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
426,"9130348479446096","1001 Incoming from 3001 Transfer",,1,true,true,2025-06-25 03:05:23.672,2025-06-25 03:05:23.672,fix_transfer_rules,"1001"
429,"9130348479446096","1001 Outgoing to 3001 Transfer",,4,true,true,2025-06-25 03:05:23.672,2025-06-25 03:05:23.672,fix_transfer_rules,"1001"
433,"9130348479446096","1001 Outgoing to Wise Transfer",,8,true,true,2025-06-25 03:05:23.672,2025-06-25 03:05:23.672,fix_transfer_rules,"1001"
428,"9130348479446096","3001 Incoming from 1001 Transfer",,3,true,true,2025-06-25 03:05:23.672,2025-06-25 03:05:23.672,fix_transfer_rules,"3001"
434,"9130348479446096","3001 Incoming from Stripe Transfer",,9,true,true,2025-06-25 03:05:23.672,2025-06-25 03:05:23.672,fix_transfer_rules,"3001"
427,"9130348479446096","3001 Outgoing to 1001 Transfer",,2,true,true,2025-06-25 03:05:23.672,2025-06-25 03:05:23.672,fix_transfer_rules,"3001"
431,"9130348479446096","3001 Outgoing to Wise Transfer",,6,true,true,2025-06-25 03:05:23.672,2025-06-25 03:05:23.672,fix_transfer_rules,"3001"
523,"9130354593661056",(Suggested) Rightworks Www Rightwork Nh Us as Operating Expenses-Technology System Costs,Migrated from Australia CSV on 2025-06-30,75,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
432,"9130348479446096",Wise Incoming from 1001 Transfer,,7,true,true,2025-06-25 03:05:23.672,2025-06-25 03:05:23.672,fix_transfer_rules,Wise
430,"9130348479446096",Wise Incoming from 3001 Transfer,,5,true,true,2025-06-25 03:05:23.672,2025-06-25 03:05:23.672,fix_transfer_rules,Wise
435,"9130348479446096",Stripe Outgoing to 3001 Transfer,,10,true,true,2025-06-25 03:05:23.672,2025-06-25 03:05:23.672,fix_transfer_rules,stripe_sgd
524,"9130354593661056",(Suggested) Sydney as Operating Expenses-Travel Expense,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
525,"9130354593661056",(Suggested) Starbucks as Meals and entertainment,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
517,"9130354593661056",(Suggested) Post Gordon Lpo Ns Au as Corporate-Other Corporate Expense,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
526,"9130354593661056",(Suggested) Return Drive Mate Melbourne Au as Refunds,Migrated from Australia CSV on 2025-06-30,60,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
527,"9130354593661056",(Suggested) Australia as Due from Singapore,Migrated from Australia CSV on 2025-06-30,70,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
494,"9130354593661056",apple.com,Migrated from Australia CSV on 2025-06-30,90,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
500,"9130354593661056",Adjust,Migrated from Australia CSV on 2025-06-30,70,true,true,2025-06-30 06:16:27.564,2025-07-01 23:26:32.166,australia_csv_migrator,CBA
230,"9130348479446096",ABWIN RMS,,53,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,
207,"9130348479446096",Adobe,,30,true,false,2025-06-22 12:29:52.091,2025-06-22 12:29:52.091,csv_migration,
